facebook.com	31.13.80.36
google.com	172.217.7.228
youtube.com	172.217.3.46
yahoo.com	72.30.35.9
baidu.com	123.125.115.110
wikipedia.org	208.80.154.224
live.com	204.79.197.212
twitter.com	104.244.42.65
qq.com	111.161.64.40
amazon.com	104.93.186.116
blogspot.com	172.217.7.233
linkedin.com	108.174.10.10
google.co.in	172.217.7.227
taobao.com	140.205.94.189
yahoo.co.jp	182.22.59.229
sina.com.cn	36.51.254.37
google.com.hk	172.217.7.227
msn.com	204.79.197.203
google.de	172.217.7.227
bing.com	13.107.21.200
yandex.ru	5.255.255.50
wordpress.com	192.0.78.9
ebay.com	66.135.209.52
babylon.com	69.175.64.72
google.co.uk	172.217.7.195
google.co.jp	172.217.7.163
google.fr	172.217.7.227
163.com	157.185.167.18
vk.com	87.240.129.71
apple.com	23.78.209.192
soso.com	118.191.216.42
microsoft.com	23.221.201.229
weibo.com	114.134.80.162
mail.ru	94.100.180.200
google.com.br	172.217.7.227
tumblr.com	66.6.32.31
pinterest.com	151.101.32.84
google.es	172.217.7.227
paypal.com	23.221.201.68
craigslist.org	208.82.237.129
ask.com	151.101.34.114
google.it	172.217.7.227
xhamster.com	88.208.18.30
google.ru	172.217.7.227
blogger.com	172.217.7.201
sohu.com	104.254.66.16
go.com	23.236.60.174
bbc.co.uk	151.101.0.81
avg.com	104.68.230.139
imdb.com	52.94.225.248
fc2.com	52.33.182.156
google.com.mx	172.217.7.227
ifeng.com	210.51.19.63
adobe.com	192.147.130.204
flickr.com	69.147.88.7
www.yōukù.com	104.25.87.104
google.ca	172.217.7.163
t.co	199.16.156.11
tudou.com	106.11.186.1
tmall.com	140.205.94.193
conduit.com	198.49.162.233
hao123.com	61.135.162.10
odnoklassniki.ru	5.61.23.11
aol.com	66.218.87.12
espn.go.com	18.204.111.40
xvideos.com	185.88.181.2
pornhub.com	216.18.168.16
ebay.de	66.135.201.153
blogspot.in	172.217.10.105
livejasmin.com	109.71.161.200
mywebsearch.com	74.113.233.48
cnn.com	151.101.1.67
google.co.id	172.217.7.227
amazon.de	52.95.120.34
zedo.com	64.41.197.44
redtube.com	216.18.168.124
google.com.tr	172.217.12.163
huffingtonpost.com	74.6.136.153
sogou.com	118.191.216.42
alibaba.com	205.204.101.142
rakuten.co.jp	133.237.61.176
google.com.au	172.217.7.163
about.com	151.101.1.121
ebay.co.uk	66.135.201.153
godaddy.com	208.109.192.70
adf.ly	104.20.18.254
stackoverflow.com	151.101.1.69
amazon.co.jp	52.119.161.5
wordpress.org	198.143.164.252
google.pl	172.217.7.227
mediafire.com	104.19.194.29
uol.com.br	200.147.67.142
netflix.com	35.153.58.124
imgur.com	151.101.124.193
dailymotion.com	195.8.215.136
instagram.com	34.195.4.154
chinaz.com	117.25.139.69
cnet.com	64.30.228.118
youporn.com	216.18.168.116
amazon.co.uk	54.239.33.58
